Horodateur,What's your name ? (extra points if you come up with a funny nickname),Ready ? ,Quizz starts ! Picture #1,Picture #2,Picture #3,Picture #4,Picture #5,Picture #6,Picture #7,Picture #8,Picture #9,Picture #10,Picture #11,Picture #12,Picture #13,Picture #14,Picture #15,Picture #16,Picture #17,Picture #18,Picture #19,Picture #20,How you doin' ? ,Picture #21,Picture #22,Picture #23,Picture #24,Picture #25,Picture #26,Picture #27,Picture #28,Picture #29,Picture #30,Picture #31,Picture #32,Picture #33,Picture #34,Picture #35,Picture #36,Picture #37,Picture #38,Picture #39,Picture #40,You made it !! Congrats !!!
18/08/2022 20:19:06,"No, Shan't",Yes,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,"I am bored but polite, I'll keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Option 3
18/08/2022 20:19:07,Monique,Yes,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,"I am not bored, keep going",Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Send me your best meme at hugo(dot)ladret(at)gmail(dot)com
18/08/2022 20:19:07,A,"Yes, but on this button",Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,"I am bored but polite, I'll keep going",Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,I don't feel confident in my ability to make a funnier meme than the one shown on screen now
18/08/2022 20:19:07,NeuroticNeuron,"Yes, but on this button",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,"I am not bored, keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Send me your best meme at hugo(dot)ladret(at)gmail(dot)com
18/08/2022 20:19:07,Wet,Yes,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,"I am not bored, keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Option 3
18/08/2022 20:19:08,!@#$%,"Yes, but on this button",Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,"I am bored but polite, I'll keep going",Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Option 3
18/08/2022 20:19:08,Not-Lynn,Yes,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,"I am bored but polite, I'll keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Send me your best meme at hugo(dot)ladret(at)gmail(dot)com
18/08/2022 20:19:11,Ian,"Yes, but on this button",Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,"I am bored but polite, I'll keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Option 3
18/08/2022 20:19:11,AKEG,Yes,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,"I am not bored, keep going",Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,I don't feel confident in my ability to make a funnier meme than the one shown on screen now
18/08/2022 20:19:13,RR,"Yes, but on this button",Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,"I am bored but polite, I'll keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,I don't feel confident in my ability to make a funnier meme than the one shown on screen now
18/08/2022 20:19:13,Astrid the bastrid,Yes,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,"I am bored but polite, I'll keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Option 3
18/08/2022 20:19:13,Laura,"Yes, but on this button",Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,"I am bored but polite, I'll keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,I don't feel confident in my ability to make a funnier meme than the one shown on screen now
18/08/2022 20:19:15,Laaban,"Yes, but on this button",Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,"I am not bored, keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Send me your best meme at hugo(dot)ladret(at)gmail(dot)com
18/08/2022 20:19:29,Picard,Yes,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,"I am not bored, keep going",Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,I don't feel confident in my ability to make a funnier meme than the one shown on screen now
18/08/2022 20:19:29,Merve,Yes,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,"I am not bored, keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,I don't feel confident in my ability to make a funnier meme than the one shown on screen now
18/08/2022 20:19:32,pascal,Yes,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,"I am bored but polite, I'll keep going",Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,I don't feel confident in my ability to make a funnier meme than the one shown on screen now
18/08/2022 20:19:32,Sameh,Yes,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,"I am not bored, keep going",Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Send me your best meme at hugo(dot)ladret(at)gmail(dot)com
18/08/2022 20:19:41,NAN,Yes,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,"I am not bored, keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Send me your best meme at hugo(dot)ladret(at)gmail(dot)com
18/08/2022 20:19:55,Wormer,"Yes, but on this button",Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,"I am bored but polite, I'll keep going",Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Rauischholzhausen castle,Anywhere else,Anywhere else,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Rauischholzhausen castle,Anywhere else,Anywhere else,Anywhere else,Option 3
